Contract_Term,State,Company,Industry,Load,Peak_Rate,Off_Peak_Rate
12,NSW,Company 691,CULTURAL AND RECREATIONAL SERVICES,1790,9.99,6.22
54,SA,Company 692,MANUFACTURING,2760,15.99,8.74
54,SA,Company 692,MANUFACTURING,612,15.99,8.74
48,VIC,Company 693,MANUFACTURING,221,9.6,8.07
36,QLD,Company 694,PROPERTY AND BUSINESS SERVICES,271,8.76,6.54
12,NSW,Company 695,PROPERTY AND BUSINESS SERVICES,328,9.83,7.03
36,SA,Company 696,MANUFACTURING,239,13.89,10.36
48,NSW,Company 697,CULTURAL AND RECREATIONAL SERVICES,892,10.47,6.82
48,NSW,Company 698,PERSONAL AND OTHER SERVICES,116,9.51,6.19
48,VIC,Company 698,PROPERTY AND BUSINESS SERVICES,104,10.54,6.32
57,VIC,Company 699,PROPERTY AND BUSINESS SERVICES,153,12.79,6.64
55,VIC,Company 699,RETAIL TRADE,100,10.95,6.62
57,VIC,Company 699,PROPERTY AND BUSINESS SERVICES,154,12.79,6.64
24,SA,Company 700,MANUFACTURING,300,10.8,7.38
24,SA,Company 700,MANUFACTURING,834,10.8,7.38
24,SA,Company 700,MANUFACTURING,866,10.8,7.38
12,NSW,Company 701,PROPERTY AND BUSINESS SERVICES,123,10.24,6.61
48,VIC,Company 702,HEALTH AND COMMUNITY SERVICES,308,12.39,7.24
12,NSW,Company 703,CULTURAL AND RECREATIONAL SERVICES,162,11.25,6.9
48,VIC,Company 704,PROPERTY AND BUSINESS SERVICES,188,10.78,10.17
36,SA,Company 705,MANUFACTURING,677,14.61,8.6
33,SA,Company 705,MANUFACTURING,4000,11.85,7.77
48,VIC,Company 706,PROPERTY AND BUSINESS SERVICES,215,14.18,8.48
24,SA,Company 707,"ACCOMMODATION, CAFES AND RESTAURANTS",865,15.4,9.24
36,VIC,Company 708,MANUFACTURING,1566,12.6,8.07
36,SA,Company 709,PROPERTY AND BUSINESS SERVICES,978,15.26,9.4
36,VIC,Company 710,PROPERTY AND BUSINESS SERVICES,948,12.88,9.87
36,VIC,Company 711,MANUFACTURING,600,13.32,9.26
36,VIC,Company 712,PROPERTY AND BUSINESS SERVICES,953,12.53,8.82
12,VIC,Company 713,WHOLESALE TRADE,319,12.58,6.88
36,NSW,Company 714,RETAIL TRADE,284,10.1,7.69
36,VIC,Company 715,MANUFACTURING,328,11.71,8.19
36,QLD,Company 716,PROPERTY AND BUSINESS SERVICES,121,9.48,5.58
36,QLD,Company 717,MANUFACTURING,332,9.36,6.65
36,QLD,Company 718,PROPERTY AND BUSINESS SERVICES,295,8.81,6.55
36,SA,Company 719,MANUFACTURING,270,12.71,8.82
12,NSW,Company 720,CULTURAL AND RECREATIONAL SERVICES,227,11.36,7.5
48,NSW,Company 721,PROPERTY AND BUSINESS SERVICES,119,11.08,7.25
36,QLD,Company 722,"AGRICULTURE, FORESTRY AND FISHING",199,10.56,8.4
59,QLD,Company 723,"ACCOMMODATION, CAFES AND RESTAURANTS",450,7.92,5.4
12,NSW,Company 724,PROPERTY AND BUSINESS SERVICES,327,9.33,7.23
36,QLD,Company 725,"ACCOMMODATION, CAFES AND RESTAURANTS",743,9.49,6.81
12,QLD,Company 726,WHOLESALE TRADE,202,8.18,6.28
12,QLD,Company 727,PROPERTY AND BUSINESS SERVICES,137,8.81,6.37
24,SA,Company 728,"ACCOMMODATION, CAFES AND RESTAURANTS",913,14.9,8.99
36,QLD,Company 729,PROPERTY AND BUSINESS SERVICES,582,8.4,6.37
36,QLD,Company 729,PROPERTY AND BUSINESS SERVICES,290,7.34,5.75
36,QLD,Company 729,PROPERTY AND BUSINESS SERVICES,686,7.34,5.75
12,NSW,Company 730,WHOLESALE TRADE,220,6.95,3.69
24,QLD,Company 730,WHOLESALE TRADE,195,9.79,5.51
35,QLD,Company 730,PROPERTY AND BUSINESS SERVICES,490,8.52,6.05
35,QLD,Company 730,PROPERTY AND BUSINESS SERVICES,490,8.52,6.05
12,QLD,Company 730,RETAIL TRADE,200,9.29,6.42
12,SA,Company 730,WHOLESALE TRADE,290,12.49,7.31
12,SA,Company 730,WHOLESALE TRADE,600,12.49,7.31
24,VIC,Company 730,WHOLESALE TRADE,200,6.4,3.4
24,VIC,Company 730,WHOLESALE TRADE,388,6.4,3.4
24,SA,Company 731,PROPERTY AND BUSINESS SERVICES,142,24.81,12.45
36,SA,Company 732,MANUFACTURING,511,16.6,8.6
36,SA,Company 733,PROPERTY AND BUSINESS SERVICES,975,17.75,9.25
36,NSW,Company 734,WHOLESALE TRADE,709,10.48,7.14
48,QLD,Company 734,WHOLESALE TRADE,147,8.1,6.22
48,QLD,Company 734,WHOLESALE TRADE,266,8.1,6.22
36,SA,Company 734,WHOLESALE TRADE,295,14.31,8.99
36,VIC,Company 734,WHOLESALE TRADE,191,11.16,8.05
36,VIC,Company 734,WHOLESALE TRADE,168,11.16,8.05
36,VIC,Company 734,WHOLESALE TRADE,796,11.16,8.05
36,NSW,Company 735,WHOLESALE TRADE,320,10.87,7.55
36,QLD,Company 735,WHOLESALE TRADE,102,8.78,6.43
36,VIC,Company 735,WHOLESALE TRADE,974,11.96,8.12
36,SA,Company 736,PROPERTY AND BUSINESS SERVICES,188,16.94,8.21
12,NSW,Company 737,"ACCOMMODATION, CAFES AND RESTAURANTS",433,9.18,6.57
56,NSW,Company 738,MANUFACTURING,110,9.17,5.82
44,VIC,Company 738,MANUFACTURING,306,10.27,6.15
48,VIC,Company 739,MANUFACTURING,898,10.2,7.66
12,SA,Company 740,HEALTH AND COMMUNITY SERVICES,180,14.06,7.9
12,SA,Company 740,HEALTH AND COMMUNITY SERVICES,180,14.06,7.9
57,VIC,Company 741,MANUFACTURING,127,11.08,7.59
48,QLD,Company 742,CULTURAL AND RECREATIONAL SERVICES,1620,8.52,6.22
36,QLD,Company 743,MANUFACTURING,233,9.07,6.83
12,VIC,Company 744,GOVERNMENT ADMINISTRATION AND DEFENCE,540,9.22,6.81
36,NSW,Company 745,"ACCOMMODATION, CAFES AND RESTAURANTS",202,9.69,6.28
13,VIC,Company 746,MANUFACTURING,700,14.25,8.04
12,QLD,Company 747,WHOLESALE TRADE,248,10.92,6.88
36,QLD,Company 748,WHOLESALE TRADE,154,12.98,8.71
36,VIC,Company 749,MANUFACTURING,105,12.53,8.44
40,VIC,Company 749,MANUFACTURING,142,12.95,10.29
36,NSW,Company 750,COMMUNICATION SERVICES,130,11.85,8.01
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,173,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,133,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,261,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,190,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,370,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,392,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,141,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,428,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,401,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,326,10.74,7.47
36,NSW,Company 751,PROPERTY AND BUSINESS SERVICES,517,10.74,7.47
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",445,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",451,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",451,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",539,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",334,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",501,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",450,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",426,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",692,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",331,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",363,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",401,9.71,6.77
18,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",404,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",400,9.71,6.77
29,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",404,8.75,5.61
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",261,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",451,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",456,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",423,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",463,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",350,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",528,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",480,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",491,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",511,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",433,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",443,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",434,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",479,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",434,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",358,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",432,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",379,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",470,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",367,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",361,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",449,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",373,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",249,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",425,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",239,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",249,9.71,6.77
41,QLD,Company 751,PROPERTY AND BUSINESS SERVICES,460,9.11,7.2
27,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",404,9.16,6.2
26,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",404,9.71,6.77
18,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",404,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",368,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",507,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",396,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",396,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",344,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",371,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",227,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",469,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",450,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",289,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",333,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",418,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",444,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",396,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",390,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",381,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",353,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",425,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",356,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",247,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",378,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",558,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",353,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",573,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",356,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",648,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",376,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",459,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",389,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",603,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",603,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",427,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",372,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",452,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",360,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",499,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",377,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",406,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",565,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",445,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",936,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",451,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",448,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",516,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",363,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",443,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",296,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",773,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",306,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",473,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",325,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",535,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",384,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",548,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",597,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",512,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",462,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",449,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",356,9.71,6.77
36,QLD,Company 751,"ACCOMMODATION, CAFES AND RESTAURANTS",450,9.71,6.77
36,VIC,Company 751,PROPERTY AND BUSINESS SERVICES,361,11.41,8
36,VIC,Company 751,PROPERTY AND BUSINESS SERVICES,389,11.41,8
36,VIC,Company 751,PROPERTY AND BUSINESS SERVICES,334,11.41,8
36,VIC,Company 751,PROPERTY AND BUSINESS SERVICES,456,11.41,8
48,QLD,Company 752,MANUFACTURING,820,9.04,6.33
12,NSW,Company 753,WHOLESALE TRADE,174,9.42,6.37
12,NSW,Company 753,WHOLESALE TRADE,107,9.42,6.37
12,NSW,Company 753,WHOLESALE TRADE,1624,9.42,6.37
12,NSW,Company 753,WHOLESALE TRADE,138,9.42,6.37
48,QLD,Company 754,FINANCE AND INSURANCE,173,8.97,6.11
36,SA,Company 755,PROPERTY AND BUSINESS SERVICES,603,17.84,9.66
36,SA,Company 755,PROPERTY AND BUSINESS SERVICES,142,17.84,9.66
36,SA,Company 755,PROPERTY AND BUSINESS SERVICES,131,17.84,9.66
48,VIC,Company 756,MANUFACTURING,119,13.64,9.05
12,QLD,Company 757,CULTURAL AND RECREATIONAL SERVICES,189,8.73,6.15
12,QLD,Company 757,CULTURAL AND RECREATIONAL SERVICES,1409,8.73,6.15
12,QLD,Company 757,CULTURAL AND RECREATIONAL SERVICES,647,8.73,6.15
48,NSW,Company 758,HEALTH AND COMMUNITY SERVICES,467,12.94,8.78
48,NSW,Company 758,HEALTH AND COMMUNITY SERVICES,490,12.94,8.78
48,VIC,Company 759,CONSTRUCTION,211,11.7,9.83
12,VIC,Company 760,MANUFACTURING,150,13.4,8.47
12,QLD,Company 761,CULTURAL AND RECREATIONAL SERVICES,211,9.07,6.55
36,QLD,Company 762,HEALTH AND COMMUNITY SERVICES,355,9.68,6.68
12,VIC,Company 763,WHOLESALE TRADE,189,9.15,5.67
36,QLD,Company 764,MANUFACTURING,1130,10.64,6.9
36,QLD,Company 765,MANUFACTURING,606,7.36,6.06
36,QLD,Company 765,MANUFACTURING,206,7.36,6.06
50,VIC,Company 766,"AGRICULTURE, FORESTRY AND FISHING",234,15.07,9.13
36,QLD,Company 767,"ACCOMMODATION, CAFES AND RESTAURANTS",170,10.6,7.76
12,NSW,Company 768,"ACCOMMODATION, CAFES AND RESTAURANTS",102,12.18,7.04
54,VIC,Company 769,"ACCOMMODATION, CAFES AND RESTAURANTS",170,10.64,6.87
36,SA,Company 770,PROPERTY AND BUSINESS SERVICES,2600,15.01,9.54
55,NSW,Company 771,MANUFACTURING,203,11.23,10.72
30,SA,Company 772,MANUFACTURING,1177,15.62,9.42
36,VIC,Company 773,PROPERTY AND BUSINESS SERVICES,252,11.41,7.21
36,SA,Company 774,MANUFACTURING,181,17.03,9.98
12,VIC,Company 775,GOVERNMENT ADMINISTRATION AND DEFENCE,384,9.22,6.81
12,VIC,Company 775,GOVERNMENT ADMINISTRATION AND DEFENCE,236,9.22,6.81
12,VIC,Company 775,GOVERNMENT ADMINISTRATION AND DEFENCE,265,9.22,6.81
12,VIC,Company 775,GOVERNMENT ADMINISTRATION AND DEFENCE,1709,9.22,6.81
12,VIC,Company 775,GOVERNMENT ADMINISTRATION AND DEFENCE,699,9.22,6.81
12,VIC,Company 775,GOVERNMENT ADMINISTRATION AND DEFENCE,353,9.22,6.81
12,VIC,Company 776,GOVERNMENT ADMINISTRATION AND DEFENCE,209,9.22,6.81
24,VIC,Company 777,TRANSPORT AND STORAGE,346,15.49,9.42
39,NSW,Company 778,"ACCOMMODATION, CAFES AND RESTAURANTS",192,9.85,5.43
24,QLD,Company 779,CULTURAL AND RECREATIONAL SERVICES,281,9.26,6.68
36,QLD,Company 780,RETAIL TRADE,352,9.13,6.28
36,VIC,Company 781,MANUFACTURING,168,10.35,7.68
36,NSW,Company 782,PROPERTY AND BUSINESS SERVICES,242,12.77,9.27
12,SA,Company 783,MANUFACTURING,2297,11.6,7.54
12,SA,Company 783,MANUFACTURING,3189,11.6,7.54
25,NSW,Company 784,RETAIL TRADE,530,10.5,7.31
36,NSW,Company 784,WHOLESALE TRADE,175,9.32,6.83
36,NSW,Company 784,RETAIL TRADE,143,12.1,8.51
36,NSW,Company 784,WHOLESALE TRADE,389,9.32,6.83
36,NSW,Company 784,WHOLESALE TRADE,162,9.32,6.83
12,QLD,Company 785,MANUFACTURING,122,8.1,5.81
12,VIC,Company 785,MANUFACTURING,826,9.94,6.79
12,VIC,Company 785,MANUFACTURING,251,9.94,6.79
48,NSW,Company 786,GOVERNMENT ADMINISTRATION AND DEFENCE,100,12.83,7.48
48,NSW,Company 787,MANUFACTURING,185,6.02,5.39
12,NSW,Company 788,CULTURAL AND RECREATIONAL SERVICES,217,12.66,7.41
12,QLD,Company 789,CULTURAL AND RECREATIONAL SERVICES,304,8.53,6.62
48,NSW,Company 790,"ACCOMMODATION, CAFES AND RESTAURANTS",332,14.24,8.23
12,SA,Company 791,FINANCE AND INSURANCE,190,15.01,8.84
12,SA,Company 791,FINANCE AND INSURANCE,458,15.01,8.84
41,VIC,Company 792,PERSONAL AND OTHER SERVICES,252,11.13,6.53
36,VIC,Company 793,MANUFACTURING,395,7.81,6.61
39,VIC,Company 794,MANUFACTURING,227,7.37,5.81
12,VIC,Company 795,TRANSPORT AND STORAGE,100,5.5,3.66
12,VIC,Company 795,TRANSPORT AND STORAGE,100,5.5,3.66
12,QLD,Company 796,MANUFACTURING,232,7.77,7.18
48,NSW,Company 797,"ELECTRICITY, GAS AND WATER SUPPLY",624,8.81,5.62
48,VIC,Company 798,TRANSPORT AND STORAGE,479,9.82,6.31
47,VIC,Company 798,TRANSPORT AND STORAGE,479,11.52,7.46
36,SA,Company 799,WHOLESALE TRADE,490,15.15,9.02
36,NSW,Company 800,EDUCATION,832,10.66,7.04
19,QLD,Company 800,EDUCATION,401,7.8,5.98
19,QLD,Company 800,EDUCATION,206,7.8,5.98
19,QLD,Company 800,EDUCATION,222,7.8,5.98
19,QLD,Company 800,EDUCATION,299,7.8,5.98
19,QLD,Company 800,EDUCATION,118,7.8,5.98
36,SA,Company 800,EDUCATION,272,15.93,8.26
12,VIC,Company 801,GOVERNMENT ADMINISTRATION AND DEFENCE,256,9.22,6.81
12,VIC,Company 801,GOVERNMENT ADMINISTRATION AND DEFENCE,148,9.22,6.81
12,VIC,Company 801,"ELECTRICITY, GAS AND WATER SUPPLY",160,15,9.61
36,VIC,Company 802,"ACCOMMODATION, CAFES AND RESTAURANTS",443,9.17,6.86
36,NSW,Company 803,PROPERTY AND BUSINESS SERVICES,286,9.97,6.94
24,QLD,Company 804,CULTURAL AND RECREATIONAL SERVICES,224,9.84,6.8
48,VIC,Company 805,MANUFACTURING,1465,10.45,7.79
12,NSW,Company 806,MANUFACTURING,117,8.32,7.05
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,115,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,128,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,105,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,114,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,123,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,147,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,107,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,102,10.08,7.02
37,NSW,Company 807,PROPERTY AND BUSINESS SERVICES,158,10.08,7.02
36,NSW,Company 808,CONSTRUCTION,258,10.78,7.92
49,NSW,Company 808,CONSTRUCTION,256,10.4,7.71
49,NSW,Company 808,CONSTRUCTION,256,10.4,7.71
12,VIC,Company 809,WHOLESALE TRADE,283,11.24,7.87
36,VIC,Company 810,MANUFACTURING,113,13.37,9.12
12,SA,Company 811,WHOLESALE TRADE,272,13.88,8.4
12,SA,Company 811,WHOLESALE TRADE,336,13.88,8.4
12,VIC,Company 812,FINANCE AND INSURANCE,149,9.81,6.66
12,VIC,Company 812,FINANCE AND INSURANCE,214,9.81,6.66
12,VIC,Company 812,FINANCE AND INSURANCE,245,9.81,6.66
35,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,600,10.45,6.76
36,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,226,10.7,6.83
36,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,346,10.7,6.83
36,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,287,10.7,6.83
36,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,824,10.7,6.83
36,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,579,10.7,6.83
36,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,888,10.7,6.83
36,NSW,Company 813,HEALTH AND COMMUNITY SERVICES,1205,10.7,6.83
24,VIC,Company 814,MANUFACTURING,820,13.72,8.56
12,SA,Company 815,PROPERTY AND BUSINESS SERVICES,186,17.79,7.94
7,NSW,Company 816,MANUFACTURING,305,14.26,10.6
24,NSW,Company 817,PROPERTY AND BUSINESS SERVICES,422,11.26,7.91
12,SA,Company 818,WHOLESALE TRADE,158,12.47,8.7
36,QLD,Company 819,"ACCOMMODATION, CAFES AND RESTAURANTS",1252,7.81,5.81
48,VIC,Company 820,MANUFACTURING,986,12.41,8.07
48,VIC,Company 820,MANUFACTURING,772,12.41,8.07
48,QLD,Company 821,PROPERTY AND BUSINESS SERVICES,149,9.19,6.58
36,SA,Company 822,PERSONAL AND OTHER SERVICES,291,19.76,9.65
12,QLD,Company 823,"ACCOMMODATION, CAFES AND RESTAURANTS",805,10.36,6.39
36,VIC,Company 824,MANUFACTURING,1196,13.79,7.52
12,VIC,Company 825,GOVERNMENT ADMINISTRATION AND DEFENCE,261,9.22,6.81
24,QLD,Company 826,"ACCOMMODATION, CAFES AND RESTAURANTS",108,12.18,7.29
24,QLD,Company 826,"ACCOMMODATION, CAFES AND RESTAURANTS",207,12.18,7.29
48,QLD,Company 827,MANUFACTURING,610,9.76,6.23
12,SA,Company 828,MANUFACTURING,358,15.43,8.65
48,VIC,Company 829,RETAIL TRADE,162,14.8,9.22
12,VIC,Company 830,GOVERNMENT ADMINISTRATION AND DEFENCE,166,9.22,6.81
12,NSW,Company 831,MANUFACTURING,1388,10.54,6.99
36,SA,Company 832,MANUFACTURING,204,13.35,8.6
53,SA,Company 832,MANUFACTURING,204,13.35,8.6
25,VIC,Company 833,CULTURAL AND RECREATIONAL SERVICES,100,10.62,7.48
12,SA,Company 834,CULTURAL AND RECREATIONAL SERVICES,160,9.69,4.51
12,NSW,Company 835,MANUFACTURING,1244,12,7.56
24,VIC,Company 836,CONSTRUCTION,135,12.9,9.31
