,"strftime('%H', TimeStamp)","AVG(""GridCurrent"")"
0,00,1.1501826322610655
1,01,0.9825366322363124
2,02,0.9439240207644616
3,03,0.937504503422545
4,04,0.9269785022442268
5,05,1.1074826679416505
6,06,3.3301439358188842
7,07,6.45984893897602
8,08,4.252595884003749
9,09,2.7637402723736417
10,10,2.2317534987652303
11,11,1.9839913854989886
12,12,2.031717697127403
13,13,2.1485205677171804
14,14,1.7195015355540355
15,15,1.7197790320644064
16,16,2.181496807756004
17,17,3.0477769766882927
18,18,4.188562980484846
19,19,3.817367853290169
20,20,3.02983842434249
21,21,2.5319117826245976
22,22,2.2377107155487876
23,23,1.896356226776944
